Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2024-01-02,183.73130798339844,186.5025222946912,181.99930092657837,185.22577720716953,82488700,,,
2024-01-03,182.3555908203125,183.96883642924203,181.5440145919006,182.32590048043423,58414500,-0.007487657809578385,,
2024-01-04,180.0396728515625,181.2075332827541,179.02026413555495,180.277195595857,71983600,-0.012700010777470627,,
2024-01-05,179.31716918945312,180.88092604513352,178.31755906038765,180.11885376441708,62379700,-0.004013024744302096,,
2024-01-08,183.6521453857422,183.69174257913158,179.63389106527006,180.21782130157615,59144500,0.024174908715567822,,
2024-01-09,183.23641967773438,183.24631142265767,180.8511952858635,182.02896231346367,42841800,-0.0022636583260958743,,
2024-01-10,184.27566528320312,184.48349768333688,182.02900036017593,182.4545871112419,46792900,0.005671610519876635,,
2024-01-11,183.68182373046875,185.12681915669637,181.73207738578324,184.62205313633504,49128400,-0.003222571747722225,,
2024-01-12,184.0084228515625,184.8199990991005,183.28593272766105,184.14698280822722,40477800,0.0017780698953262508,,
2024-01-16,181.74197387695312,182.36548612847807,179.0697224204938,180.28708678689063,65603000,-0.012317093638901988,,
2024-01-17,180.8017120361328,181.0491415840924,178.4461930088501,179.40622086308548,47317400,-0.005173608609846503,,
2024-01-18,186.69056701660156,187.1953179109023,183.91935276727983,184.17667408756796,78005800,0.032570792135485194,,
2024-01-19,189.59042358398438,189.97641309339812,186.87860527237555,187.3833561379468,68903000,0.015532957094318123,,
2024-01-22,191.89646911621094,193.3216657993532,190.28322355100102,190.32282073770045,60133900,0.012163301756668243,,
2024-01-23,193.17323303222656,193.73737977781175,191.83712223283266,193.01488956324005,42355600,0.006653399731093579,,
2024-01-24,192.50021362304688,194.36088890095834,192.34185506707502,193.41075266703035,53631300,-0.003484020009477229,,
2024-01-25,192.17361450195312,194.2520291241628,191.1245154438125,193.21282181305796,54822100,-0.0016966169280897558,,
2024-01-26,190.4416046142578,192.75754194727924,189.9665440310004,192.2725896171282,44594000,-0.009012735136319727,,
2024-01-29,189.75869750976562,190.22386634852867,187.63080907007364,190.03581744325376,47145600,-0.0035859134135917126,,
2024-01-30,186.1066131591797,189.82796344587697,185.54248160944437,188.9768051464624,55859400,-0.019245939177032878,185.9586669921875,
2024-01-31,182.50404357910156,185.17629499887522,182.45456974695213,185.11689921687164,55467800,-0.019357558116415707,185.89730377197264,
2024-02-01,184.93875122070312,185.02782223798647,181.93001441121828,182.0982647000541,64885400,0.01334056820799323,186.02646179199218,
2024-02-02,183.93914794921875,185.40392677166545,177.4070012757119,178.01073002917815,102551700,-0.005405050401208089,186.221435546875,
2024-02-05,185.75030517578125,187.30417000412038,183.92922730587782,186.21547393955785,69668800,0.009846502208776808,186.5430923461914,
2024-02-06,187.35366821289062,187.36355995873058,184.8496822422945,184.93875326056028,43490800,0.008631819127252971,186.72816848754883,
2024-02-07,187.46255493164062,189.0856924097343,186.67077723703076,188.67990426473503,53439000,0.0005811827427166794,186.93947525024413,
2024-02-08,186.3837432861328,187.5911856262693,185.42371540021887,187.44273393335544,40962000,-0.005754811385672243,187.0448791503906,
2024-02-09,187.14682006835938,188.27653811843788,186.30447993507684,186.9486117161699,45155200,0.004094116626121691,187.21812896728517,
2024-02-12,185.46212768554688,186.96842336096995,185.1053738445565,186.72067805809255,41781900,-0.009001982412509713,187.2908142089844,
2024-02-13,183.3711395263672,184.53060074172208,181.85493962465304,184.094566630165,56529500,-0.011274475200268252,187.37227249145508,
2024-02-14,182.48919677734375,183.85675578337245,180.79462725534452,183.64865818230027,54630500,-0.004809604997282668,187.45664672851564,
2024-02-15,182.20179748535156,182.82612045767794,179.71444020641266,181.89459574378543,65434500,-0.0015748838674699561,187.23220825195312,
2024-02-16,180.66578674316406,183.18288755084293,180.03155935687485,181.76577652013776,49752500,-0.008430272167380681,186.7859764099121,
2024-02-20,179.9225616455078,180.78471053407532,178.3766332434525,180.15048310961222,53665600,-0.004113812089462376,186.18728103637696,
2024-02-21,180.6757049560547,181.24055639365764,179.03067248659073,180.2991272502037,41371400,0.004185930345026678,185.56240463256836,
2024-02-22,182.7072296142578,183.29192011230285,180.81446669725386,181.8252568033474,52292200,0.01124403891877579,185.0727554321289,
2024-02-23,180.8739013671875,183.3711632214272,180.58650833781007,183.34143499372246,45119700,-0.010034240303139264,184.5077697753906,
2024-02-26,179.52615356445312,181.11171437415507,179.0207434868858,180.59641504961763,40867400,-0.007451311618464795,183.96199722290038,
2024-02-27,180.98289489746094,182.2612539462515,177.94057546451762,179.4666949255866,54318900,0.008114368319515064,183.52320709228516,
2024-02-28,179.7838134765625,181.46847854843006,178.50545433930714,180.8639793914523,48953900,-0.006625385352454383,183.2070671081543,
2024-02-29,179.11985778808594,180.92345088953732,177.9108594746495,179.63517226295397,136682600,-0.003693078234560443,183.03785781860353,
2024-03-01,178.03970336914062,178.90185225837237,175.78026722267666,177.93069482167198,73563100,-0.006030344330795634,182.6929054260254,
2024-03-04,173.52081298828125,175.30456703921072,172.22261492332544,174.56133114426578,81510100,-0.025381363231605003,182.1719886779785,
2024-03-05,168.58572387695312,170.48840604509627,168.0902332564625,169.21995126633416,95132400,-0.028440905885228962,181.31375961303712,
2024-03-06,167.59474182128906,169.69563232435493,167.15870765798908,169.5172478388351,68587700,-0.005878208622145054,180.32581329345703,
2024-03-07,167.47581481933594,169.1902079797121,166.97041987504164,167.62445594378354,71765100,-0.0007096105800260544,179.32647628784179,
2024-03-08,169.19021606445312,172.13343143853632,167.41636636953461,167.4758228221548,76267000,0.010236709383779408,178.4667999267578,
2024-03-11,171.1920166015625,172.80732093128213,170.49833272784605,171.38030546468005,60139500,0.011831656603280116,177.66905975341797,
2024-03-12,171.6676788330078,172.4604668624585,169.4676992338398,171.58839851794536,59825400,0.0027785304530432153,176.979337310791,
2024-03-13,169.5866241455078,171.62804307697533,169.21995080494636,171.21183277143888,52488700,-0.01212257718894405,176.29011154174805,181.98575744628906
2024-03-14,171.43972778320312,172.7379105857579,170.49829877625797,171.35054311459356,72913500,0.01092718041315166,175.737638092041,181.73992584228515
2024-03-15,171.0631561279297,171.0631561279297,168.75416830335303,169.6262365278927,121752700,-0.0021965250420231675,175.18070602416992,181.5140771484375
2024-03-18,172.15325927734375,176.107279800922,171.95506605696912,173.98658058844927,75604200,0.006372518630480606,174.7550796508789,181.35634887695312
2024-03-19,174.49195861816406,175.0171774056643,171.4694631572472,172.76764601394297,55215200,0.013584984394937383,174.48354949951172,181.25984466552734
2024-03-20,177.05859375,177.05859375,173.5108795488189,174.1352024891535,53423100,0.014709188619129732,174.30269393920898,181.1279736328125
2024-03-21,169.82443237304688,175.88924720546055,169.2992135808601,175.4532130863986,106181300,-0.040857442859664195,173.65855407714844,180.85973388671874
2024-03-22,170.72625732421875,171.48931715990707,168.5262776263353,170.210942813777,71160100,0.005310336908360025,173.151171875,180.58874572753905
2024-03-25,169.3091583251953,170.38932429506946,167.92177545566648,169.0316847755244,54288300,-0.008300416240791142,172.64032211303712,180.3012924194336
2024-03-26,168.17942810058594,169.87399750483326,168.0505957042821,168.4668059986792,57388400,-0.006672587802010521,172.00014877319336,179.98471252441405
2024-03-27,171.74696350097656,172.0343565405087,168.57582642397568,168.87312383270142,60273300,0.02121267411051564,171.59830627441406,179.78481231689454
2024-03-28,169.93345642089844,170.67669234048742,168.97220342186947,170.20102558587905,65672700,-0.010559179872008717,171.13898620605468,179.56744720458985
2024-04-01,168.4965362548828,169.70553455748254,167.9514935576168,169.6460781034487,46240500,-0.008455781435155463,170.6618278503418,179.20356658935546
2024-04-02,167.31724548339844,167.81273603395658,166.71274640687062,167.5550863912881,49329500,-0.006998902159629394,170.35164947509764,178.75810302734374
2024-04-03,168.11996459960938,169.14067408704202,167.05962251511946,167.2677201117247,47691700,0.004797587444687945,170.32836151123047,178.2825729370117
2024-04-04,167.29745483398438,170.3694875068381,167.29745483398438,168.7541832986243,53704400,-0.004892397923018099,170.31349716186523,177.7650573730469
2024-04-05,168.05059814453125,168.85329051832247,167.42627513328318,168.06050251317026,42104800,0.004501821688167595,170.342236328125,177.27606506347655
2024-04-08,166.93080139160156,167.67403738632925,166.72270378093583,167.50557237539863,37425500,-0.006663449968601798,170.22926559448243,176.77120880126952
2024-04-09,168.13980102539062,168.54610700117138,166.8317135282985,167.17854792228746,42373800,0.007242519796887947,170.07665481567383,176.32517272949218
2024-04-10,166.26686096191406,167.56504419900938,165.60290522695604,167.27766624134972,49709300,-0.011139183298984223,169.80661392211914,175.85533599853517
2024-04-11,173.4613494873047,173.87757491447604,166.64340884278624,166.8217782077108,91070300,0.04327073046166818,170.00035018920897,175.60243072509766
2024-04-12,174.957763671875,176.75143752987137,172.6388708981507,172.68840786964623,101670900,0.008626787402457259,170.17625198364257,175.45150512695312
2024-04-15,171.13253784179688,175.03700600653332,170.94424900321735,173.7784557074799,73531800,-0.0218637101309328,170.17972106933593,175.175380859375
2024-04-16,167.85240173339844,172.19288913903023,166.7524119884344,170.20102235595408,73711200,-0.019167226465318654,169.96467819213868,174.85364593505858
2024-04-17,166.48483276367188,169.1109267558204,166.48483276367188,168.08031301583728,50901200,-0.008147449518766448,169.56432189941407,174.4683364868164
2024-04-18,165.5334930419922,167.11906901091456,165.0479219314042,166.51456987389489,43122900,-0.005714272621038852,168.98806686401366,174.03193298339843
2024-04-19,163.5119171142578,164.89928490796945,162.60021611822233,164.71101115974596,68149400,-0.012212488787520126,168.6724411010742,173.55292022705078
